timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768938296114,2426,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-653,,true,,92,234,700,700,http://localhost:8080/api/v1/pautas/1548/votos,2426,0,0
1768938296127,2421,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-657,,true,,92,234,700,700,http://localhost:8080/api/v1/pautas/1555/votos,2421,0,0
1768938296151,2397,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-535,,true,,92,234,700,700,http://localhost:8080/api/v1/pautas/1566/votos,2397,0,1
1768938296135,2413,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-625,,true,,92,234,700,700,http://localhost:8080/api/v1/pautas/1654/votos,2413,0,1
1768938297025,1531,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-308,text,true,,190,139,700,700,http://localhost:8080/api/v1/pautas/1318/resultado,1531,0,1
1768938296162,2396,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-568,,true,,92,234,699,699,http://localhost:8080/api/v1/pautas/1567/votos,2396,0,1
1768938296160,2398,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-675,,true,,92,234,699,699,http://localhost:8080/api/v1/pautas/1572/votos,2398,0,1
1768938296158,2401,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-656,,true,,92,234,699,699,http://localhost:8080/api/v1/pautas/1664/votos,2401,0,1
1768938296160,2406,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-803,,true,,92,234,699,699,http://localhost:8080/api/v1/pautas/1670/votos,2406,0,1
1768938296162,2404,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-681,,true,,92,234,699,699,http://localhost:8080/api/v1/pautas/1577/votos,2404,0,1
1768938296144,2422,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-558,,true,,92,234,699,699,http://localhost:8080/api/v1/pautas/1564/votos,2422,0,1
1768938296144,2423,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-423,,true,,92,234,699,699,http://localhost:8080/api/v1/pautas/1561/votos,2423,0,1
1768938296056,2511,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-736,,true,,92,234,699,699,http://localhost:8080/api/v1/pautas/1625/votos,2511,0,1
1768938297028,1544,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-275,text,true,,190,139,699,699,http://localhost:8080/api/v1/pautas/1290/resultado,1544,0,1
1768938295856,2716,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-431,,true,,92,234,699,699,http://localhost:8080/api/v1/pautas/1477/votos,2716,0,1
1768938296532,2041,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-480,text,true,,190,139,698,698,http://localhost:8080/api/v1/pautas/1524/resultado,2041,0,0
1768938296181,2395,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-451,,true,,92,234,697,697,http://localhost:8080/api/v1/pautas/1675/votos,2395,0,1
1768938296167,2409,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-644,,true,,92,234,697,697,http://localhost:8080/api/v1/pautas/1671/votos,2409,0,1
1768938296180,2398,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-545,,true,,92,234,697,697,http://localhost:8080/api/v1/pautas/1579/votos,2398,0,1
1768938296163,2417,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-802,,true,,92,234,697,697,http://localhost:8080/api/v1/pautas/1666/votos,2417,0,1
1768938296940,1641,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-208,text,true,,190,139,697,697,http://localhost:8080/api/v1/pautas/1340/resultado,1641,0,0
1768938297041,1540,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-354,text,true,,190,139,697,697,http://localhost:8080/api/v1/pautas/1319/resultado,1540,0,1
1768938296942,1643,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-251,text,true,,190,139,695,695,http://localhost:8080/api/v1/pautas/1267/resultado,1643,0,1
1768938296074,2515,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-737,,true,,92,234,694,694,http://localhost:8080/api/v1/pautas/1628/votos,2515,0,0
1768938296173,2419,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-680,,true,,92,234,694,694,http://localhost:8080/api/v1/pautas/1575/votos,2419,0,0
1768938296942,1653,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-266,text,true,,190,139,694,694,http://localhost:8080/api/v1/pautas/1270/resultado,1653,0,1
1768938296055,2542,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-732,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1629/votos,2542,0,0
1768938296187,2411,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-450,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1492/votos,2411,0,1
1768938296211,2388,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-406,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1454/votos,2388,0,1
1768938296195,2404,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-694,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1585/votos,2404,0,0
1768938296216,2388,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-572,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1500/votos,2388,0,1
1768938296211,2393,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-789,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1681/votos,2393,0,1
1768938296211,2393,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-588,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1592/votos,2393,0,1
1768938296229,2380,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-567,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1602/votos,2380,0,0
1768938296223,2387,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-534,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1688/votos,2387,0,1
1768938296229,2385,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-549,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1466/votos,2385,0,1
1768938296216,2398,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-586,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1590/votos,2398,0,0
1768938296216,2400,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-448,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1593/votos,2400,0,1
1768938296235,2386,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-539,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1691/votos,2386,0,1
1768938296229,2392,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-489,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1499/votos,2392,0,1
1768938296248,2376,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-684,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1693/votos,2376,0,1
1768938296099,2525,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-516,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1544/votos,2525,0,1
1768938296244,2382,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-683,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1692/votos,2381,0,0
1768938295950,2676,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-563,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1599/votos,2676,0,0
1768938296250,2377,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-602,,true,,92,234,693,693,http://localhost:8080/api/v1/pautas/1611/votos,2377,0,0
1768938297024,1609,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-96,text,true,,190,139,693,693,http://localhost:8080/api/v1/pautas/1287/resultado,1608,0,1
1768938296240,2400,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-596,,true,,92,234,692,692,http://localhost:8080/api/v1/pautas/1603/votos,2400,0,1
1768938296361,2287,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-730,,true,,92,234,692,692,http://localhost:8080/api/v1/pautas/1743/votos,2287,0,1
1768938296259,2389,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-605,,true,,92,234,692,692,http://localhost:8080/api/v1/pautas/1613/votos,2389,0,1
1768938296382,2266,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-640,,true,,92,234,692,692,http://localhost:8080/api/v1/pautas/1648/votos,2266,0,1
1768938296094,2555,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-627,,true,,92,234,692,692,http://localhost:8080/api/v1/pautas/1637/votos,2555,0,1
1768938296258,2392,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-178,,true,,92,234,692,692,http://localhost:8080/api/v1/pautas/1382/votos,2392,0,1
1768938296399,2251,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-651,,true,,92,234,692,692,http://localhost:8080/api/v1/pautas/1659/votos,2251,0,1
1768938296391,2261,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-538,,true,,92,234,692,692,http://localhost:8080/api/v1/pautas/1662/votos,2261,0,1
1768938296276,2377,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-616,,true,,92,234,692,692,http://localhost:8080/api/v1/pautas/1622/votos,2377,0,0
1768938296392,2264,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-777,,true,,92,234,692,692,http://localhost:8080/api/v1/pautas/1656/votos,2264,0,1
1768938297084,1573,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-607,text,true,,190,139,692,692,http://localhost:8080/api/v1/pautas/1510/resultado,1572,0,1
1768938297084,1576,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-326,text,true,,190,139,691,691,http://localhost:8080/api/v1/pautas/1330/resultado,1575,0,0
1768938296268,2403,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-597,,true,,92,234,690,690,http://localhost:8080/api/v1/pautas/1617/votos,2403,0,1
1768938296270,2401,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-496,,true,,92,234,690,690,http://localhost:8080/api/v1/pautas/1506/votos,2401,0,0
1768938296270,2408,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-826,,true,,92,234,690,690,http://localhost:8080/api/v1/pautas/1706/votos,2408,0,1
1768938296291,2387,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-700,,true,,92,234,690,690,http://localhost:8080/api/v1/pautas/1710/votos,2387,0,0
1768938296310,2368,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-476,,true,,92,234,690,690,http://localhost:8080/api/v1/pautas/1525/votos,2368,0,1
1768938297025,1655,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-174,text,true,,190,139,690,690,http://localhost:8080/api/v1/pautas/1188/resultado,1655,0,0
1768938296409,2271,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-637,,true,,92,234,690,690,http://localhost:8080/api/v1/pautas/1660/votos,2271,0,1
1768938296303,2382,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-479,,true,,92,234,689,689,http://localhost:8080/api/v1/pautas/1526/votos,2382,0,1
1768938296310,2376,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-707,,true,,92,234,689,689,http://localhost:8080/api/v1/pautas/1718/votos,2376,0,1
1768938296413,2273,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-464,,true,,92,234,689,689,http://localhost:8080/api/v1/pautas/1483/votos,2273,0,0
1768938296297,2389,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-615,,true,,92,234,689,689,http://localhost:8080/api/v1/pautas/1521/votos,2389,0,1
1768938297110,1588,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-228,text,true,,190,139,689,689,http://localhost:8080/api/v1/pautas/1242/resultado,1587,0,1
1768938297025,1678,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-196,text,true,,190,139,688,688,http://localhost:8080/api/v1/pautas/1218/resultado,1678,0,0
1768938297130,1573,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-727,text,true,,190,139,688,688,http://localhost:8080/api/v1/pautas/1624/resultado,1573,0,1
1768938297130,1578,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-143,text,true,,190,139,686,686,http://localhost:8080/api/v1/pautas/1299/resultado,1578,0,1
1768938296317,2403,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-709,,true,,92,234,685,685,http://localhost:8080/api/v1/pautas/1724/votos,2403,0,1
1768938296310,2410,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-601,,true,,92,234,685,685,http://localhost:8080/api/v1/pautas/1721/votos,2410,0,1
1768938296478,2244,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-525,,true,,92,234,685,685,http://localhost:8080/api/v1/pautas/1674/votos,2244,0,0
1768938296321,2401,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-609,,true,,92,234,685,685,http://localhost:8080/api/v1/pautas/1534/votos,2401,0,0
1768938296319,2403,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-725,,true,,92,234,685,685,http://localhost:8080/api/v1/pautas/1728/votos,2403,0,0
1768938296321,2401,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-747,,true,,92,234,685,685,http://localhost:8080/api/v1/pautas/1633/votos,2401,0,0
1768938297146,1583,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-292,text,true,,190,139,685,685,http://localhost:8080/api/v1/pautas/1301/resultado,1582,0,1
1768938297044,1685,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-144,text,true,,190,139,685,685,http://localhost:8080/api/v1/pautas/1286/resultado,1684,0,0
1768938296297,2437,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-614,,true,,92,234,683,683,http://localhost:8080/api/v1/pautas/1522/votos,2437,0,1
1768938296332,2403,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-626,,true,,92,234,683,683,http://localhost:8080/api/v1/pautas/1636/votos,2403,0,1
1768938296344,2391,POST /api/v1/pautas/{pautaId}/votos,201,,Thread Group 1-636,,true,,92,234,683,683,http://localhost:8080/api/v1/pautas/1541/votos,2391,0,0
1768938297055,1681,GET /api/v1/pautas/{pautaId}/resultado,200,,Thread Group 1-392,text,true,,190,139,683,683,http://localhost:8080/api/v1/pautas/1297/resultado,1681,0,1
